nội dung,answer,start_position
"Xử phạt người điều khiển xe mô tô, xe gắn máy (kể cả xe máy điện), các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy vi phạm quy tắc giao thông đường bộ. Phạt tiền từ 800.000 đồng đến 1.000.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây: Không chấp hành hiệu lệnh của đèn tín hiệu giao thông",Phạt tiền từ 800.000 đồng đến 1.000.000 đồng,"{'text':['Phạt tiền từ 800.000 đồng đến 1.000.000 đồng'],'answer_start':[ 169 ]}"
"Căn cứ quy định tại Điểm a Khoản 3 Điều 6, Điểm c Khoản 2 Điều 6 và Điểm a Khoản 3 Điều 7 Nghị định 100/2019/NĐ-CP thì người điều khiển xe chạy quá tốc độ quy định từ 05 km/h đến dưới 10 km/h sẽ bị phạt sẽ bị xử phạt như sau: Đối với người điều khiển xe mô tô, xe gắn máy (kể cả xe máy điện), các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy: Bị phạt tiền từ 200.000 đồng đến 400.000 đồng.
",Bị phạt tiền từ 200.000 đồng đến 400.000 đồng,"{'text':['Bị phạt tiền từ 200.000 đồng đến 400.000 đồng'],'answer_start':[ 359 ]}"
"Tại Điểm d Khoản 8 Điều 6 Nghị định 100/2019/NĐ-CP, có quy định: Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng, bị tước quyền sử dụng Giấy phép lái xe từ 02 tháng đến 04 tháng và bị tạm giữ phương tiện tối đa đến 07 ngày trước khi ra quyết định xử phạt đối với người điều khiển xe thực hiện một trong các hành vi vi phạm. Trong đó có: Điều khiển xe thành nhóm từ 02 xe trở lên chạy quá tốc độ quy định;","Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng, bị tước quyền sử dụng Giấy phép lái xe từ 02 tháng đến 04 tháng và bị tạm giữ phương tiện tối đa đến 07 ngày","{'text':['Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng, bị tước quyền sử dụng Giấy phép lái xe từ 02 tháng đến 04 tháng và bị tạm giữ phương tiện tối đa đến 07 ngày'],'answer_start':[ 65 ]}"
"Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với người điều khiển xe môtô, xe gắn máy (kể cả xe máy điện), các loại xe tương tự xe môtô và các loại xe tương tự xe gắn máy vi phạm một trong các lỗi liên quan đến đội mũ bảo hiểm như sau: Không đội ""mũ bảo hiểm cho người đi môtô, xe máy"" hoặc đội ""mũ bảo hiểm cho người đi môtô, xe máy"" không cài quai đúng quy cách khi điều khiển xe tham gia giao thông trên đường bộ;",Phạt tiền từ 400.000 đồng đến 600.000 đồng,"{'text':['Phạt tiền từ 400.000 đồng đến 600.000 đồng'],'answer_start':[ 0 ]}"
Phạt tiền từ 400.000 đồng đến 600.000 đồng đối với một trong các hành vi vi phạm sau đây: Chuyển hướng không giảm tốc độ hoặc không có tín hiệu báo hướng rẽ (trừ trường hợp điều khiển xe đi theo hướng cong của đoạn đường bộ ở nơi đường không giao nhau cùng mức); điều khiển xe rẽ trái tại nơi có biển báo hiệu có nội dung cấm rẽ trái đối với loại phương tiện đang điều khiển; điều khiển xe rẽ phải tại nơi có biển báo hiệu có nội dung cấm rẽ phải đối với loại phương tiện đang điều khiển;,Phạt tiền từ 400.000 đồng đến 600.000 đồng,"{'text':['Phạt tiền từ 400.000 đồng đến 600.000 đồng'],'answer_start':[ 0 ]}"
Hạng A1 cấp cho: Người lái xe để điều khiển xe mô tô hai bánh có dung tích xy lanh từ 50 cm3 đến dưới 175 cm3; Người khuyết tật điều khiển xe mô tô ba bánh dùng cho người khuyết tật.,dung tích xy lanh từ 50 cm3 đến dưới 175 cm3,"{'text':['dung tích xy lanh từ 50 cm3 đến dưới 175 cm3'],'answer_start':[ 65 ]}"
"Nếu CSGT yêu cầu kiểm tra giấy tờ mà không có xuất trình được bằng lái xe, người điều khiển phương tiện sẽ vừa bị giữ xe và xử phạt hành chính theo quy định hiện hành. Theo khoản 8 Điều 125 Luật Xử lý vi phạm hành chính, thời hạn tạm giữ phương tiện là 07 ngày",bị giữ xe và xử phạt hành chính theo quy định hiện hành,"{'text':['bị giữ xe và xử phạt hành chính theo quy định hiện hành'],'answer_start':[ 111 ]}"
Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng đối với người điều khiển xe thực hiện một trong các hành vi vi phạm sau đây: Không nhường đường hoặc gây cản trở xe được quyền ưu tiên đang phát tín hiệu ưu tiên đi làm nhiệm vụ;,Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng,"{'text':['Phạt tiền từ 6.000.000 đồng đến 8.000.000 đồng'],'answer_start':[ 0 ]}"
"Tại Điều 30 Luật giao thông đường bộ quy định người điều khiển, người ngồi trên xe mô tô, xe gắn máy phải tuân theo quy tắc sau:
Người điều khiển xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy không được thực hiện các hành vi sử dụng xe để kéo, đẩy xe khác, vật khác, mang, vác và chở vật cồng kềnh; Buông cả hai tay hoặc đi xe bằng một bánh đối với xe hai bánh, bằng hai bánh đối với xe ba bánh; Hành vi khác gây mất trật tự, an toàn giao thông.","không được thực hiện các hành vi sử dụng xe để kéo, đẩy xe khác, vật khác, mang, vác và chở vật cồng kềnh","{'text':['không được thực hiện các hành vi sử dụng xe để kéo, đẩy xe khác, vật khác, mang, vác và chở vật cồng kềnh'],'answer_start':[ 194 ]}"
"Luật Giao thông đường bộ năm 2008 quy định người ngồi trên xe mô tô hai bánh, xe mô tô ba bánh, xe gắn máy khi tham gia giao thông không được thực hiện các hành vi mang, vác vật cồng kềnh, sử dụng ô, bám, kéo hoặc đẩy các phương tiện khác;
","không được thực hiện các hành vi mang, vác vật cồng kềnh, sử dụng ô","{'text':['không được thực hiện các hành vi mang, vác vật cồng kềnh, sử dụng ô'],'answer_start':[ 131 ]}"
"Tại nơi có biển báo hiệu cố định lại có báo hiệu tạm thời thì người tham gia giao thông phải chấp hành hiệu lệnh của báo hiệu tạm thời. Tại nơi có vạch kẻ đường dành cho người đi bộ, người điều khiển phương tiện phải quan sát, giảm tốc độ và nhường đường cho người đi bộ, xe lăn của người khuyết tật qua đường.",phải chấp hành hiệu lệnh của báo hiệu tạm thời,"{'text':['phải chấp hành hiệu lệnh của báo hiệu tạm thời'],'answer_start':[ 88 ]}"
"Theo quy định, khi muốn chuyển hướng, người điều khiển phương tiện phải giảm tốc độ và có tín hiệu báo hướng rẽ; trong khi chuyển hướng, phải nhường quyền đi trước cho người đi bộ, người đi xe đạp đang đi trên phần đường dành riêng cho họ, nhường đường cho các xe đi ngược chiều",phải giảm tốc độ và có tín hiệu báo hướng rẽ,"{'text':['phải giảm tốc độ và có tín hiệu báo hướng rẽ'],'answer_start':[ 67 ]}"
"Đèn tín hiệu chính điều khiển giao thông được áp dụng ba loại màu tín hiệu là xanh, vàng và đỏ.","xanh, vàng và đỏ","{'text':['xanh, vàng và đỏ'],'answer_start':[ 78 ]}"
"Khi gặp xe buýt đang dừng đón, trả khách, người điều khiển xe mô tô phải giảm tốc độ đến mức an toàn có thể và quan sát người qua đường và từ từ vượt qua xe buýt.",giảm tốc độ đến mức an toàn có thể và quan sát người qua đường và từ từ vượt qua xe buýt,"{'text':['giảm tốc độ đến mức an toàn có thể và quan sát người qua đường và từ từ vượt qua xe buýt'],'answer_start':[ 73 ]}"
"Trên đường đang xảy ra ùn tắc những hành vi thiếu văn hóa khi tham gia giao thông là bấm còi liên tục thúc giục các phương tiện phía trước nhường đường, đi lên vỉa hè, lấn sang trái đường cố gắng vượt lên xe khác.","bấm còi liên tục thúc giục các phương tiện phía trước nhường đường, đi lên vỉa hè, lấn sang trái đường cố gắng vượt lên xe khác","{'text':['bấm còi liên tục thúc giục các phương tiện phía trước nhường đường, đi lên vỉa hè, lấn sang trái đường cố gắng vượt lên xe khác'],'answer_start':[ 85 ]}"
"Điều quan trọng trong việc điều khiển xe côn tay nói chung và những loại mô tô phân khối lớn nói riêng là luôn phải giữ thói quen đặt tay lên cả tay côn và tay phanh. Khác với xe số và xe ga, để điều khiển một chiếc xe côn tay an toàn, người điều khiển luôn phải kết hợp nhịp nhàng cả chân số, chân phanh, tay côn cũng như tay ga, nhấn nhả nhịp nhàng.",luôn phải giữ thói quen đặt tay lên cả tay côn và tay phanh,"{'text':['luôn phải giữ thói quen đặt tay lên cả tay côn và tay phanh'],'answer_start':[ 106 ]}"
